,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,liked
43,Company (feat. Future),El Dorado,24kGoldn,3/26/21,213080,79,0.831,0.447,0.831,0.727,0,0.111,-3.657,0.169,125.068,4,0
44,Maybach (feat. Future),Free Dem Boyz,42 Dugg,5/21/21,199093,72,0.506,0.0229,0.506,0.473,0,0.15,-9.79,0.331,100.535,5,0
45,Little While (feat. Big Sean & Hit-Boy),Little While (feat. Big Sean & Hit-Boy),Sada Baby,5/17/21,219192,58,0.834,0.00308,0.834,0.888,0,0.288,-3.944,0.222,114.92,4,0
46,Killumbus,Killumbus,BigKayBeezy,5/28/21,178285,43,0.771,0.0947,0.771,0.531,0,0.185,-9.002,0.498,139.98,4,0
47,GRIME,GRIME,Smoove'L,5/28/21,134284,44,0.714,0.169,0.714,0.722,0,0.498,-5.713,0.345,143.136,4,0
48,FYE FYE,FYE FYE,Tobe Nwigwe,5/16/21,232615,58,0.81,0.0298,0.81,0.75,0,0.103,-8.225,0.363,130.096,4,0
49,Pop It (feat. Megan Thee Stallion),Big Bank,Bankroll Freddie,4/2/21,148484,64,0.933,0.00879,0.933,0.526,3.86E-05,0.276,-6.398,0.244,131.99,4,0
50,4 Da Gang (with Roddy Ricch),4 Da Gang (with Roddy Ricch),42 Dugg,4/2/21,155720,82,0.871,0.0143,0.871,0.545,0,0.148,-10.489,0.189,100.482,4,0
51,Channel 2 (feat. Slimelife Shawty),Channel 2 (feat. Slimelife Shawty),3xbravo,4/30/21,199157,43,0.797,0.201,0.797,0.378,0,0.135,-11.692,0.508,87.912,4,0
52,OKAY (feat. Vory),OKAY,FRVRFRIDAY,4/30/21,210778,59,0.731,0.544,0.731,0.41,0,0.11,-10.666,0.083,114.104,4,0
53,No Statements (feat. Lil Durk),No Statements,Kuttem Reese,4/30/21,172388,58,0.842,0.072,0.842,0.827,0,0.126,-5.483,0.33,149.971,4,0
54,No Competition,No Competition,Remble,2/7/21,115748,54,0.859,0.798,0.859,0.61,0,0.131,-5.875,0.26,100.095,4,0
55,Judge Please,Free Dem Boyz,42 Dugg,5/21/21,123960,55,0.764,0.0713,0.764,0.855,0,0.0406,-5.711,0.161,91.991,4,0
56,Santanny,Blue/Santanny,Bktherula,5/21/21,123541,55,0.92,0.00418,0.92,0.424,1.62E-06,0.164,-5.24,0.226,134.975,4,0
57,Million Dolla Steppaz,Million Dolla Steppaz,C.M.L.,5/21/21,212093,45,0.64,0.129,0.64,0.83,0,0.331,-7.849,0.279,171.933,4,0
58,Lick Back,Lick Back,EST Gee,4/16/21,93707,64,0.841,0.053,0.841,0.56,0,0.114,-5.679,0.276,160.878,4,0
59,"ROLLIN N CONTROLLIN, Pt.2 (PICTURE ME)","ROLLIN N CONTROLLIN, Pt.2 (PICTURE ME)",DUSTY LOCANE,5/14/21,121836,64,0.858,0.225,0.858,0.625,0,0.18,-4.666,0.404,130.05,4,0
60,Beat It Up,Beat It Up,Tru Carr,4/28/21,202987,57,0.726,0.0317,0.726,0.611,0,0.286,-5.541,0.338,154.067,4,0
61,Pac-Man,Pac-Man,YSN Flow,5/28/21,174199,46,0.773,0.00855,0.773,0.658,0,0.182,-6.731,0.122,127.151,4,0
62,"NEW BUGATTI (feat. Ski Mask The Slump God, Chief Keef, DJ Scheme)","NEW BUGATTI (feat. Ski Mask The Slump God, Chief Keef, DJ Scheme)",Lil Gnar,5/14/21,227918,70,0.721,0.169,0.721,0.521,1.08E-06,0.115,-9.687,0.349,157.965,4,0
63,Wouldn't Get Far,Doctor's Advocate,The Game,1/1/06,251040,58,0.434,0.152,0.434,0.764,0,0.425,-5.367,0.276,92.605,4,0
64,COOLER THAN A BITCH (feat. Roddy Ricch),WUNNA,Gunna,5/22/20,197000,69,0.837,0.281,0.837,0.586,0,0.134,-8.521,0.0807,117.066,4,0
65,RAPSTAR,RAPSTAR,Polo G,4/9/21,165925,95,0.789,0.41,0.789,0.536,0,0.129,-6.862,0.242,81.039,4,0
66,Make No Sense,AI YoungBoy 2,YoungBoy Never Broke Again,10/11/19,148629,74,0.876,0.0208,0.876,0.733,0,0.0999,-4.478,0.333,154.904,4,0
67,Mona Lisa (feat. Kendrick Lamar),Tha Carter V,Lil Wayne,9/28/18,324189,67,0.856,0.371,0.856,0.694,0,0.109,-4.393,0.169,122.08,4,0
68,Impatient (feat. Coi Leray),Die 4 Respect,DDG,3/19/21,245621,71,0.928,0.221,0.928,0.322,4.37E-06,0.115,-10.334,0.0838,109.999,4,0
69,Last Time (feat. Snoh Aalegra),When It's All Said And Done... Take Time,Giveon,3/12/21,193760,59,0.634,0.344,0.634,0.424,1.11E-05,0.442,-8.609,0.0493,81.449,3,0
70,Nobody But You,Nobody But You,Sonder,4/9/21,213214,73,0.637,0.742,0.637,0.299,0,0.359,-11.314,0.0366,83.872,4,0
